Area Type,Area Name (County Names),Period,SOC Level,Standard Occupational Classification (SOC),Occupational Title,Base Year Employment Estimate,Projected Year Employment Estimate,Numeric Change,Percentage Change,Exits,Transfers,Total  Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,3,49-2000,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",6780,6230,-550,-8.1,1740,5230,6420,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,49-2011,"Computer, Automated Teller, and Office Machine Repairers",700,620,-80,-11.4,180,520,620,18.73,38947.00,"Some college, no degree",None,Short-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",4030,3560,-470,-11.7,1060,3120,3710,30.56,63563.00,Postsecondary non-degree award,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,49-2091,Avionics Technicians,270,300,30,11.1,70,140,240,33.95,70606.00,Associate's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",450,450,0,0.0,80,310,390,31.21,64912.00,Postsecondary non-degree award,None,Long-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,49-2098,Security and Fire Alarm Systems Installers,650,760,110,16.9,200,650,960,25.49,53024.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,3,49-3000,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",14300,14280,-20,-0.1,4100,9620,13700,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,49-3011,Aircraft Mechanics and Service Technicians,1730,1890,160,9.2,490,1000,1650,32.47,67539.00,Postsecondary non-degree award,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,49-3021,Automotive Body and Related Repairers,1330,1340,10,0.8,430,850,1290,19.55,40654.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,49-3023,Automotive Service Technicians and Mechanics,7030,6790,-240,-3.4,1880,4850,6490,22.90,47626.00,Postsecondary non-degree award,None,Short-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,1540,1580,40,2.6,430,1010,1480,28.95,60210.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",790,830,40,5.1,250,550,840,29.23,60782.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,49-3051,Motorboat Mechanics and Service Technicians,250,220,-30,-12.0,90,140,200,25.61,53269.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,140,150,10,7.1,60,90,160,19.90,41390.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,49-3093,Tire Repairers and Changers,750,740,-10,-1.3,230,600,820,16.16,33611.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,3,49-9000,"Other Installation, Maintenance, and Repair Occupations",24290,25940,1650,6.8,8830,16140,26620,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",300,280,-20,-6.7,70,180,230,38.30,79673.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",2150,2350,200,9.3,610,1580,2390,28.88,60057.00,Postsecondary non-degree award,None,Long-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,49-9031,Home Appliance Repairers,310,240,-70,-22.6,130,170,230,20.89,43466.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,49-9041,Industrial Machinery Mechanics,2190,2550,360,16.4,740,1430,2530,28.16,58574.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,49-9043,"Maintenance Workers, Machinery",550,620,70,12.7,220,310,600,26.63,55385.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,49-9044,Millwrights,170,200,30,17.6,50,110,190,28.44,59147.00,High school diploma or equivalent,None,Apprenticeship
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,49-9051,Electrical Power-Line Installers and Repairers,460,440,-20,-4.3,110,270,360,51.03,106139.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,49-9052,Telecommunications Line Installers and Repairers,440,390,-50,-11.4,100,370,420,32.22,67018.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,49-9062,Medical Equipment Repairers,440,440,0,0.0,190,270,460,31.20,64892.00,Associate's degree,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,49-9071,"Maintenance and Repair Workers, General",11440,12400,960,8.4,4180,7380,12520,20.82,43312.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",430,410,-20,-4.7,170,320,470,16.03,33335.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,49-9092,Commercial Divers,100,110,10,10.0,40,70,120,0.00,0.00,Postsecondary non-degree award,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,49-9096,Riggers,320,340,20,6.3,70,250,340,27.89,58012.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,49-9098,"Helpers--Installation, Maintenance, and Repair Workers",1110,1140,30,2.7,600,830,1460,16.74,34828.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,49-9099,"Installation, Maintenance, and Repair Workers, All Other",2690,2850,160,5.9,1090,1890,3140,20.27,42157.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,2,51-0000,Production Occupations,66180,67620,1440,2.2,26720,50560,78720,18.42,38322.00,N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,3,51-1000,Supervisors of Production Workers,4200,4410,210,5.0,1370,3030,4610,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-1011,First-Line Supervisors of Production and Operating Workers,4200,4410,210,5.0,1370,3030,4610,34.77,72310.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,3,51-2000,Assemblers and Fabricators,16140,16590,450,2.8,6390,12150,18990,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",960,870,-90,-9.4,180,620,710,22.22,46199.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-2028,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",4550,4790,240,5.3,2010,3300,5550,18.33,38127.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-2031,Engine and Other Machine Assemblers,190,170,-20,-10.5,40,170,190,0.00,0.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-2041,Structural Metal Fabricators and Fitters,1210,1050,-160,-13.2,270,910,1020,22.68,47183.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-2091,Fiberglass Laminators and Fabricators,150,140,-10,-6.7,60,110,160,0.00,0.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-2098,"Assemblers and Fabricators, All Other, Including Team Assemblers",9050,9540,490,5.4,3810,7020,11320,0.00,0.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,3,51-3000,Food Processing Workers,5730,6310,580,10.1,3120,4910,8610,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-3011,Bakers,2500,2720,220,8.8,1510,2060,3790,14.53,30219.00,No formal educational credential,None,Long-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-3021,Butchers and Meat Cutters,1700,1930,230,13.5,740,1500,2470,15.24,31704.00,No formal educational credential,None,Long-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-3092,Food Batchmakers,900,980,80,8.9,570,830,1480,14.23,29594.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,3,51-4000,Metal Workers and Plastic Workers,13690,14020,330,2.4,4300,10420,15050,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",1320,1400,80,6.1,390,1010,1480,0.00,0.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",210,210,0,0.0,60,160,220,0.00,0.00,Postsecondary non-degree award,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",430,390,-40,-9.3,120,390,470,15.98,33241.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",610,570,-40,-6.6,220,440,620,18.78,39059.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",120,100,-20,-16.7,40,70,90,15.97,33210.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",370,340,-30,-8.1,150,250,370,16.27,33845.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",270,250,-20,-7.4,120,170,270,23.01,47848.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",300,270,-30,-10.0,100,200,270,19.89,41385.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-4041,Machinists,4080,4450,370,9.1,1420,2910,4700,21.14,43987.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",520,480,-40,-7.7,150,390,500,17.52,36427.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",220,260,40,18.2,80,170,290,20.34,42327.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-4111,Tool and Die Makers,230,240,10,4.3,90,150,250,30.29,63009.00,Postsecondary non-degree award,None,Long-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-4121,"Welders, Cutters, Solderers, and Brazers",3720,3870,150,4.0,970,3190,4310,25.37,52776.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",180,170,-10,-5.6,40,140,170,17.32,36017.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-4192,"Layout Workers, Metal and Plastic",110,100,-10,-9.1,40,70,100,22.04,45851.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-4199,"Metal Workers and Plastic Workers, All Other",240,240,0,0.0,80,170,250,17.09,35546.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,3,51-5100,Printing Workers,1490,1420,-70,-4.7,600,1050,1580,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-5111,Prepress Technicians and Workers,200,180,-20,-10.0,70,160,210,20.35,42337.00,Postsecondary non-degree award,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-5112,Printing Press Operators,1110,1080,-30,-2.7,420,760,1150,18.48,38445.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-5113,Print Binding and Finishing Workers,180,170,-10,-5.6,120,130,240,17.35,36089.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,3,51-6000,"Textile, Apparel, and Furnishings Workers",4810,4590,-220,-4.6,2860,2880,5520,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-6011,Laundry and Dry-Cleaning Workers,1630,1680,50,3.1,1030,1180,2260,13.88,28877.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-6021,"Pressers, Textile, Garment, and Related Materials",730,610,-120,-16.4,360,420,660,14.06,29256.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-6031,Sewing Machine Operators,1350,1300,-50,-3.7,770,710,1430,13.50,28078.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-6041,Shoe and Leather Workers and Repairers,190,230,40,21.1,150,100,290,14.28,29697.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-6093,Upholsterers,190,160,-30,-15.8,70,110,150,18.22,37912.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,3,51-7000,Woodworkers,1280,1400,120,9.4,610,890,1620,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-7011,Cabinetmakers and Bench Carpenters,870,940,70,8.0,380,560,1010,18.90,39315.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",200,220,20,10.0,110,180,310,17.36,36130.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-7099,"Woodworkers, All Other",100,120,20,20.0,70,70,160,14.76,30700.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,3,51-8000,Plant and System Operators,1760,1710,-50,-2.8,480,1180,1610,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-8013,Power Plant Operators,230,230,0,0.0,50,170,220,37.98,79010.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-8021,Stationary Engineers and Boiler Operators,230,240,10,4.3,80,170,260,36.70,76357.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-8031,Water and Wastewater Treatment Plant and System Operators,930,880,-50,-5.4,280,550,780,31.51,65539.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,3,51-9000,Other Production Occupations,17090,17170,80,0.5,7000,14060,21140,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-9011,Chemical Equipment Operators and Tenders,250,260,10,4.0,70,230,310,23.51,48893.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",460,470,10,2.2,120,420,550,20.20,42030.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-9022,"Grinding and Polishing Workers, Hand",220,180,-40,-18.2,60,170,190,15.75,32770.00,No formal educational credential,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",700,720,20,2.9,220,610,850,18.59,38680.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",190,200,10,5.3,80,130,220,16.78,34890.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",4940,4440,-500,-10.1,1860,3920,5280,23.31,48484.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-9071,Jewelers and Precious Stone and Metal Workers,410,410,0,0.0,250,270,520,18.09,37635.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-9081,Dental Laboratory Technicians,280,310,30,10.7,130,230,390,18.60,38680.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-9082,Medical Appliance Technicians,210,240,30,14.3,100,180,310,23.84,49580.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-9083,Ophthalmic Laboratory Technicians,300,330,30,10.0,140,250,420,19.60,40760.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-9111,Packaging and Filling Machine Operators and Tenders,2070,2100,30,1.4,920,1500,2450,14.55,30250.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",390,400,10,2.6,120,310,440,0.00,0.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-9122,"Painters, Transportation Equipment",690,690,0,0.0,210,540,750,0.00,0.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-9141,Semiconductor Processors,440,450,10,2.3,170,350,530,18.15,37748.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",240,250,10,4.2,100,170,280,17.32,36027.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-9196,"Paper Goods Machine Setters, Operators, and Tenders",150,170,20,13.3,50,120,190,16.22,33733.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-9198,Helpers--Production Workers,2320,2560,240,10.3,1300,2290,3830,14.34,29830.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,51-9199,"Production Workers, All Other",1680,1820,140,8.3,650,1370,2160,15.28,31797.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,2,53-0000,Transportation and Material Moving Occupations,74140,81630,7490,10.1,36650,63140,107280,15.59,32414.00,N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,3,53-1000,Supervisors of Transportation and Material Moving Workers,2620,2900,280,10.7,880,2070,3230,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,53-1048,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling",2580,2860,280,10.9,860,2040,3180,0.00,0.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,3,53-2000,Air Transportation Workers,1340,1460,120,9.0,460,950,1530,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,53-2012,Commercial Pilots,290,330,40,13.8,90,230,360,0.00,72419.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,53-2021,Air Traffic Controllers,480,530,50,10.4,120,350,520,0.00,0.00,Associate's degree,None,Long-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,53-2031,Flight Attendants,400,410,10,2.5,210,240,460,0.00,0.00,High school diploma or equivalent,<5 years,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,3,53-3000,Motor Vehicle Operators,27170,31210,4040,14.9,14290,19520,37850,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,53-3021,"Bus Drivers, Transit and Intercity",2030,2100,70,3.4,1600,1000,2670,0.00,0.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,53-3022,"Bus Drivers, School or Special Client",1810,1990,180,9.9,1470,920,2570,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,53-3031,Driver/Sales Workers,2360,2590,230,9.7,1020,1790,3040,17.88,37174.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,53-3032,Heavy and Tractor-Trailer Truck Drivers,7980,8680,700,8.8,3430,6040,10170,23.41,48694.00,Postsecondary non-degree award,None,Short-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,53-3033,Light Truck or Delivery Services Drivers,8590,10270,1680,19.6,3880,6840,12400,20.56,42773.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,53-3041,Taxi Drivers and Chauffeurs,3690,4730,1040,28.2,2260,2300,5600,0.00,0.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,53-3099,"Motor Vehicle Operators, All Other",400,450,50,12.5,430,290,770,0.00,0.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,3,53-4000,Rail Transportation Workers,140,160,20,14.3,50,100,170,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,3,53-5000,Water Transportation Workers,710,680,-30,-4.2,200,570,740,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,53-5011,Sailors and Marine Oilers,310,300,-10,-3.2,90,290,370,21.13,43956.00,No formal educational credential,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,53-5021,"Captains, Mates, and Pilots of Water Vessels",330,310,-20,-6.1,80,220,280,23.72,49348.00,Postsecondary non-degree award,<5 years,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,3,53-6000,Other Transportation Workers,5520,5960,440,8.0,2810,5460,8710,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,53-6021,Parking Lot Attendants,3620,3990,370,10.2,1960,3860,6190,12.82,26649.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,53-6031,Automotive and Watercraft Service Attendants,870,880,10,1.1,390,900,1300,15.44,32124.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,53-6051,Transportation Inspectors,270,290,20,7.4,90,200,310,38.06,79159.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,53-6061,"Transportation Attendants, Except Flight Attendants",250,280,30,12.0,210,140,380,13.16,27375.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2018-2028,4,53-6099,"Transportation Workers, All Other",450,460,10,2.2,160,320,490,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
